Database Identifier,Institution,Mother Institution,State,Priority (1-4),"Type (Any Teaching 1, Pure Research 2, Government 3)",Divisions (Official Names separated by commas),"Private 1, Public 0, Mix 2, Unknown 3",COI,Year Founded,Students,Endowment (Millions),Operating Budget (Millions),Policy Different Between Schools? (Yes 1/No 0/Unknown 2),Link to the Policy?,Umbrella Policy
498,Michigan State University ,,MI,,1,"College of Agriculture and Natural Resources, College of Arts and Letters, College of Communication Arts and Sciences, College of Education, Eli Broad College of Business, The Eli Broad Graduate School of Management, College of Engineering, Honors College, College of Human Medicine, James Madison College, Law, Lyman Briggs College, College of Music, College of Natural Science, College of Nursing, College of Osteopathic Medicine, Residential College in the Arts and Humanities, Social Science, Undergraduate University Division, Veterinary Medicine",0,1,1855,"47,131 (36,058 undergrad and 11,073 graduate)",1.449 billion,1.186 billion,,https://www.msu.edu/~biomed/COI/,
499,Michigan Technological University ,,MI,,1,"School of Business and Economics, College of Engineering, School of Forest Resources and Environmental Science, College of Sciences and Arts, School of Technology",0,1,1885,5639 undergad and 1318 graduate,63.6 million,251 million,,http://www.admin.mtu.edu/admin/boc/policy/ch4/ch4p7.htm,
500,Mid-America Baptist Theological Seminary ,,TN,,1,,1,2,1971,unclear...,2,2,,2,
501,Mid-America Christian University ,,OK,,1,,1,2,1953,1447,2,2,,2,
502,Mid-Atlantic Christian University ,,NC,,1,,1,2,1948,190,2,2,,2,
2391,"Mid-Atlantic Technology, Research and Innovation Center",,WV,,2,,1,1,2003,,,,,http://www.matricresearch.com/business.asp,
504,Mid-Continent University ,,KY,,1,"Baptist College of Arts and Science, James W. Cecil Baptist College of the Bible",1,2,1949,unclear...,unknown,unknown,,2,
503,MidAmerica Nazarene University ,,KS,,1,,1,2,1966,1778,15 million,2,,2,
505,Middle Georgia College ,,GA,,1,,0,2,1884,3614,2,2,,2,
506,Middle Tennessee School of Anesthesia ,,TN,,1,,1,2,1950,72,2,2,,2,
507,Middle Tennessee State University ,,TN,,1,"College of Basic and Applied Sciences, College of Education and Behavioral Science, College of Graduate Studies, College of Liberal Arts, College of Mass Communication, Jennings A. Jones College of Business, University College, University Honors College",0,1,1911,"26,430 (2010)",48.2 million,1.89 billion,,http://www.mtsu.edu/policies/pdfs/EthicsandCodeofConduct.pdf,
508,Middlebury College ,,VT,,1,Liberal Arts,1,1,1800,2350,860 million,272 million (2012),0,http://www.middlebury.edu/offices/support/grants/policies/COI/coifull/node/119781,
509,Midland University ,,NE,,1,Liberal Arts,1,2,1883,,,,,2,
510,Midstate College ,,IL,,1,,1,2,1888,685,2,2,,2,
511,Midway College ,,KY,,1,"Women's Day College, School for Career Development, Midway College Online, Graduate College",1,1,1847,1800,,,,http://www.midway.edu/sites/default/files/C6FinancialInterestoftheCollege.pdf,
512,Midwestern Baptist Theological Seminary ,,MO,,1,,1,0,1957,unknown,2,2,,,
514,Midwestern State University ,,TX,,1,,0,1,1922,6343,,,,http://personnel.mwsu.edu/policy/2-organization/2.25-Regents_Ethics_Policy.asp,
513,Midwestern University ,,IL/AZ,,1,"Chicago College of Osteopathic Medicine, Chicago College of Pharmacy, College of Health Sciences Glendale, College of Health Sciences Downers Grove, Arizona College of Osteopathic Medicine, College of Pharmacy Glendale, College of Dental Medicine-Arizona, Arizona College of Optometry, College of Dental Medicine-Illinois",1,1,1900,4400,,,,http://www.midwestern.edu/Documents/OPTI/OPTI%20Policies%20and%20Procedures%20Manual%209-1-10.pdf,
515,Miles College ,,AL,,1,"Division of Business and Accounting, Division of Communications, Division of Education, Division of Humanities, Division of Natural Sciences and Mathematics, Division of Social and Behavioral Sciences",1,1,1898,1900,,50 million,,https://docs.google.com/viewer?a=v&q=cache:PbaPaC-GfOkJ:www.lccc.wy.edu/Media/Website%2520Resources/documents/Presidents%2520Office/Cabinet/2011/PC-jun14-11bulletmins.doc+miles+college+conflict+of+interest+policy&hl=en&gl=hk&pid=bl&srcid=ADGEESjxgOpsNL9JXDnxKFy53F_O4GUjqpP1mQgQz-VwfOLvxHY-TWRMNmJUM3gnQXCoEjIfeR7eE70CKAmEWNo2xwVboJFxoCaVtDHDb_lU6EBkr1BbIblM0gBK6tPBs1Zt-7GDX9bW&sig=AHIEtbQgncR2X79HdO7K1-clAOVnpOX4gQ,
516,Miller College ,,MI,,1,"School of Business, Binda School of Education, School of Nursing, School of Arts and Science",1,0,2005,,,,,,
2392,Miller Institute,"University of California, Berkeley",CA,,"2,3",,0,2,1955,,,,,,
517,Millersville University of Pennsylvania ,,PA,,1,"School of Education, School of Humanities and Social Sciences, Honors College, Graduate School",0,1,1855,7259 undergrad and 1047 graduate,14.3 million,,,http://www.millersville.edu/development/files/grantfiles/muconflict_of_interest.pdf,
518,Milligan College ,,TN,,1,,1,2,1866,1000,14.3 million,28 million,,2,
519,Millikin University ,,IL,,1,"College of Arts and Sciences, College of Fine Arts, College of Professional Studies, Tabor School of Business, Center for International Education",1,2,1901,2300 undergrad and 40 graduate,84.4 million,,,2,
520,Mills College ,,CA,,1,,1,1,1852,1596,165.4 million,78.8 million,,http://www.mills.edu/alumnae/aamc_bylaws.pdf,
521,Millsaps College ,,MS,,1,,1,1,1890,"1118 (1,013 undergrad and 105 graduate)",71.5 million,49 million,,http://home.millsaps.edu/burkekg/AUDCH3.HTM,
2393,Milton Friedman Institute for Research in Economics,Defunct,,,,,,,,,,,,,
522,Milwaukee Institute of Art & Design ,,WI,,1,,1,2,1920,675,2,2,,2,
523,Milwaukee School of Engineering ,,WI,,1,,1,1,1903,2648,33.7 million ,2,,http://www.msoe.edu/admission/finance/loans/conduct.shtml,
2394,MIND Institute,"University of California, Davis",CA,,"2,3",,0,1,1998,,,,,www.ucdmc.ucdavis.edu/compliance/guidance/conflict/ ,
527,Minneapolis College of Art & Design ,,MN,,1,,1,2,1886,750,2,2,,2,
524,Minnesota State University–Mankato ,,MN,,1,"College of Allied Health and Nursing, College of Arts and Humanities, College of Business, College of Education, College of Extended Learning, College of Graduate Studies and Research, College of Science, Engineering, and Technology, College of Social and Behavioral Sciences",0,1,1868,15393,24.4 million,127.1 million,,http://www.mnsu.edu/policies/approved/conflictoffinancialinterestwithgrantsandsponsoredprograms.pdf,
525,Minnesota State University–Moorhead ,,MN,,1,"College of Arts and Humanities, College of Business and Industry, College of Education and Human Services, College of Social and Natural Sciences, College of Graduate Studies",0,1,1887,7057,7.18 million,71.9 million,,http://www.mnstate.edu/facguide/Ethics.htm,
526,Minot State University ,,ND,,1,,0,1,1913,3432,13.2 million (2006),38.9 million (2005),,http://www.minotstateu.edu/plant/pdf/purchasing_manual.pdf,
528,Mississippi College ,,MS,,1,,1,not sure (need a university login),1826,5008 (3148 undergrad and 1310 graduate),48 million,,,,
529,Mississippi State University ,,MS,,1,"College of Agricultural and Life Sciences, College of Arts and Sciences, Architecture, Art, and Design, College of Business, College of Education, College of Engineering, College of Forest Resources, College of Veterinary Medicine ",0,1,1878,"18,437 (14,498 undergrad and 3,939 graduate)",254.3 million,need university login,,http://www.msstate.edu/dept/audit/7009.html,
530,Mississippi University for Women ,,MS,,1,"College of Professional Studies, College of Education and Human Sciences, Department of Nursing and Speech Language Pathology, College of Arts and Sciences, Culinary Arts Institute",0,2,1884,2428,,,,,
531,Mississippi Valley State University ,,MS,,1,,0,2,1950,2500,2,2,,2,
532,Missouri Baptist University ,,MO,,1,"Division of Business, Division of Education, Division of Fine Arts, Division of Health and Sport Sciences, Division of Humanities, Division of Natural Sciences, Division of Social and Behavioral Sciences, Division of Graduate Programs",1,1,1957,4836,3 million,,,http://www.mobap.edu/images/stories/info/ppm/ppm.5.018.pdf,
2159,Missouri Botanical Garden ,,,1,2,,,,,,,,,,
533,Missouri Southern State University ,,MO,,1,"School of Arts and Sciences, School of Business, School of Education, School of Technology",0,1,1937,4861,,59.97 million,,"http://www.mssu.edu/board-of-governors/pdfs/bylaws-revised-1-21-11-final.pdf#search=""conflict of interest policy""",
534,Missouri State University ,,MO,,1,"College of Arts and Letters, College of Business Administration, College of Education, College of Health and Human Services, College of Humanities and Public Affairs, College of Natural and Applied Sciences, Graduate College",0,1,1905,20949,48.73 million,245.3 million,,http://www.missouristate.edu/policy/g1_01_12_conflictofinterest.htm,
535,Missouri University of Science & Technology ,University of Missouri System,MO,,1,,0,1,1870,7206,101.2 million,88.5 million,,http://chancellor.mst.edu/documents/policy/I-35.pdf,http://www.umsystem.edu/ums/rules/collected_rules/personnel/ch330/330.015_policy_on_conflict_of_interest
536,Missouri Valley College ,,MO,,1,"Division of Business, Division of Communications, Division of Education, Division of Fine Arts, Division of Languages and Humanities, Division of Math and Science, School of Nursing and Health Science",1,2 (the link wouldn't open),1889,1789,5.5 million,12.2 million,,2,
537,Missouri Western State University ,,MO,,1,"College of Liberal Arts and Sciences, College of Professional Studies, Steven L. Craig School of Business, Graduate School, Regional Community Policing Institute",0,2,1915,6010,,50.35 million,,2,
2395,MIT Computer Science and Artificial Intelligence Laboratory,Massachusetts Institute of TEchnology,MA,,2,,1,0,2003,,,,,,
538,Mitchell College ,,CT,,1,,1,0,1938,1000,4.3 million,2,,,
539,Molloy College ,,NY,,1,,1,1,1955,4200,48.6 million,65.5 million,,http://www.molloy.edu/Documents/Human%20Resources/ConflictOfInterestPolicy.pdf,
2397,Monell Chemical Senses Center,,PA,,2,,1,0,1968,,,,,,
540,Monmouth College ,,IL,,1,,1,1,1853,1360,58.6 million,,,http://www.monmouthcollege.edu/Media/Website%20Resources/pdf/information/ConflictofInterestPolicy.pdf,
541,Monmouth University ,,NJ,,1,"Leon Hess Business School, School of Education, School of Social Work, Wayne D. McMurray School of Humanities and Social Sciences, Marjorie K. Unterberg School of Nursing and Health Studies, School of Science, Graduate School, Honors School",1,1,1933,4200 undergrad and 1600 graduate,33 million,81 million,,http://www.monmouth.edu/resources/general_counsel/ethics.asp#Conflicts,
542,Monroe College ,,NY,,1,,1,,1933,7700,,,,,
543,Montana State University ,Montana State University System,MT,,1,"College of Agriculture, College of Arts and Architecture, College of Business, College of Education and HHD, College of Engineering, College of Letters and Science, College of Nursing, University College, Gallatin College",0,1,1994,13559,7.8 million,140.3 million,,http://www2.montana.edu/policy/conflict_of_interest/coi_policy_04_2008.htm,
544,Montana State University–Billings ,Montana State University System,MT,,1,,0,1,1927,5441,,39.6 million,,http://www.msubillings.edu/humres/policies/pdf/408%20-%20Conflict%20of%20Interest%20Procedures.pdf,http://www2.montana.edu/policy/conflict_of_interest/coi_policy_04_2008.htm
545,Montana State University–Northern ,Montana State University System,MT,,1,,0,1,1929,1215,,,,http://www.msun.edu/admin/policies/1003-6.htm,http://www2.montana.edu/policy/conflict_of_interest/coi_policy_04_2008.htm
546,Montana Tech of The University of Montana ,Montana State University System,MT,,1,"College of Letters, Sciences and Professional Studies, School of Mines and Engineering, College of Technology, Graduate School",0,1,1900,2794,20.8 million,,,http://www.mtech.edu/research/policies/images/mt_conflict_of_interest_policy_1-2-2008.pdf,http://www2.montana.edu/policy/conflict_of_interest/coi_policy_04_2008.htm
547,Montclair State University ,,NJ,,1,"College of the Arts, College of Education and Human Services, College of Humanities and Social Sciences, College of Science and Mathematics, The School of Business, The Graduate School",0,1,1908,18402,47.1 million,316 million,,http://www.montclair.edu/ethics/adjunct_briefing.html,
548,Montreat College ,,NC,,1,"School of Arts and Sciences, School of Professional and Adult Studies",1,2,1916,1036,9.7 million,,,2,
549,Montserrat College of Art ,,MA,,1,,1,1,1970,357,603910,,,http://www.montserrat.edu/about/images/Conflict_of_Interest_Policy.pdf,
550,Moody Bible Institute ,,IL,,1,,1,2,1886,4000,39 million,,,2,
551,Moore College of Art & Design ,,PA,,1,,1,2,1848,582,,,,2,
2398,Moran Eye Center,University of Utah,UT,,"2,3",,0,0,,,,,,,
552,Moravian College ,,PA,,1,,1,1,1742,1564,74 million,~48 million,,http://home.moravian.edu/public/hr/employment/policies/COI%20Policy%20Statement%20-%20Officers.htm,
553,Morehead State University ,,KY,1,,"Caudill College of Arts, Humanities, and Social Sciences, College of Business and Public Affairs, College of Education, College of Science and Technology",0,1,1887,"9,509 (7,921 undergrad and 1,588 graduate)",22.5 million,124.1 million (2009-2010),http://www.nsf.gov/policies/conflicts.jsp,http://grants.nih.gov/grants/policy/coi/,
554,Morehouse College ,,GA,1,1,Liberal Arts,1,1,1867,2800,128 million,98 million,0,http://webcache.googleusercontent.com/u/morehouse?domains=morehouse.edu&sitesearch=morehouse.edu&hl=en&q=cache:xeWVLRXd588J:https://morehouse.edu/sacs/reaffirmation/IMAGES/SOURCEC298.PDF?id=f42f6f92-e7a6-de11-ada2-0024e84f6678+conflict+of+interest+policy&ct=clnk,
555,Morehouse School of Medicine ,,GA,,1,School of Medicine,1,,1975,329 (2009-10),56.1 million (2009),,0,http://www.msm.edu/exec_offices/compliance/conflictsOfInterest.aspx,
556,Morgan State University ,,MD,,1,"College of Liberal Arts, School of Business and Management, School of Education and Urban Studies, School of Engineering, School of Architecture and Planning",1,,1867,6000,,,,,
557,Morningside College ,,IA,,1,,1,2,1894,1200+,31.3 million,,,2,
558,Morris College ,,SC,,1,"Division of General Studies, Division of Business Administration, Division of Education, Division of Religion and Humanities, Division of Natural Sciences and Mathematics, Division of Social Sciences",1,2,1908,900,10 million,,,2,
2399,Moss Landing Marine Laboratories,California State University,CA,,"2,3",,0,0,1966,,,,,,
559,Mount Aloysius College ,,PA,,1,,1,2,1853,2000,13.2 million,,,2,
560,Mount Angel Seminary ,,OR,,1,,1,0,1882,,,,,,
2400,Mount Desert Island Biological Laboratory,,MA,,2,,1,0,1989,,,,,,
561,Mount Holyoke College ,,MA,1,1,Liberal Arts,1,1,1837,2200,488 million (2009),106.2 million,0,http://docs.google.com/viewer?a=v&q=cache:iusqp5gJ2g0J:www.mtholyoke.edu/policies/docs/policies/cofint.may10.pdf+conflict+of+interest+policy&hl=en&gl=us&pid=bl&srcid=ADGEESjXX-7vYTiOwrNzvmP2umFueYTJuNJnYPN4854G8M0EwHDI1o-n1Z4eY9G8pEV6PmrCS1Wlz6qclv8oaO65-tVvcr3kRh0ykBP4ZuUpoAFtC-o1vapUVw1eoezB07KMChyhYxyt&sig=AHIEtbQR-kY-Dm_Ej9rQfUAYtOcH19TLdA&pli=1,
562,Mount Ida College ,,MA,,1,,1,1,1899,1500,9.1 million,,,http://www.mountida.edu/sp.cfm?pageid=2787,
563,Mount Marty College ,,SD,,1,,1,1,1936,1100,12 million,16 million,,https://docs.google.com/viewer?a=v&q=cache:zVYGlorvescJ:www.mtmc.edu/financial/files/NASFAA%2520Code%2520of%2520Conduct.doc+code+of+conduct&hl=en&pid=bl&srcid=ADGEESg_Lt8tqqrBDfTMpkzvR6X09bs_k4Eill0XfGIWzMmrc-6OFqIkS-bQsY0uzW74CTTZlrVDbJsNITheuXaNQL1aC6ZgcEqORU0xAKBWG19IyXEOc05JKF_5cu7-fFEV_PeUz30Y&sig=AHIEtbSB_O9e-hPUF6X2P2Np3J69j7S0Xg,
564,Mount Mary College ,,WI,,1,,1,2,1913,1963,9.4 million,62.56 million,,2,
565,Mount Mercy University ,,IA,,1,,1,2,1928,1643,19.6 million,25 million,,2,
566,Mount Olive College ,,NC,,1,"School of Arts and Sciences, Tillman School of Business, School of PRofessional Studies",1,2,1951,3500,152 million,,,2,
567,Mount Saint Mary College ,,NY,,1,,1,2,1960,2700+,42 million,,,2,
568,Mount Saint Mary's College ,,CA,,1,,1,1,1925,2480,65.4 million,55 million,,https://docs.google.com/viewer?a=v&q=cache:7f_gRJ1L1QgJ:www.msmc.la.edu/PDFFiles/human-resources/staff-employee-handbook-2010-2011.pdf+conflict+of+interest+policy&hl=en&pid=bl&srcid=ADGEEShUfgJwZsCTTDMWNAIL2INoqGRITWE-JOd5aeo4j2KGcGW1FYZosG8QCCksBt-z-jes_CYFkBCcN_6aTMRL6aXaaPIOV1y9Tvhjj8-vuM6jq8npZcZwI2hX-_ZX-H74B83RrXT6&sig=AHIEtbTUtEIENFm2DySNLUTlFrAGz7HBXw,
569,Mount Saint Mary's University ,,MD,,1,,1,2,1808,2100,35 million,38.4 million,,2,
570,Mount Union College ,,OH,,1,,1,2,1846,2200,120 million,,,2,
571,Mount Vernon Nazarene University ,,OH,,1,,1,1,1968,1923,12.2 million,,,http://www.mvnu.edu/policies/Financial.pdf,
572,Mountain State University ,,WV,,1,"School of Arts and Sciences, School of Business and Technology, School of Nursing, Patsy H. Haslam School of Health Sciences, Charles H. Polk School of Leadership and Professional Development",1,2,1933,9158,,,,,
2401,MRIGlobal,,MO,,2,,1,0,1944,,,,,,
573,Muhlenberg College ,,PA,,1,,1,1,1848,2180,140 million,,,http://www.muhlenberg.edu/main/aboutus/hr/handbook/manager/4_1.html,
574,Multnomah University ,,OR,,1,,1,,1936,600,27.27 million,16.5 million,,,
575,Murray State University ,,KY,,1,,0,1,1924,10416,27.9 million,135.9 million,,http://www.murraystate.edu/Libraries/Board_of_Regents/MSU_Board_Conflict_of_Interest_AGB_5-20-11_1.sflb.ashx,
576,Muskingum University ,,OH,,1,,1,1,1837,3000,45.5 million,,,http://www.muskingum.edu/home/financialaid/downloads/codeofconduct.pdf,
1570,Naropa University ,,CO,4,,"Undergraduate Study (official name?), Department of Contemplative Education, Environmental Studies, Jack Kerouac School of Disembodied Poetics, Graduate School of Psychology",1,"2 (but probably 0, I would guess)",1974,"447 undergrad, 629 grad",3.9,,,,
2094,NASA Ames Research Center ,NASA,,1,3,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2403,NASA Astrobiology Institute,NASA,CA,,"2,3",,0,1,1998,,,,,http://www.nasa.gov/centers/ames/pdf/372013main_ATOM%20Selection%20Statement.pdf,
2125,NASA Langley Research Center ,NASA,,1,3,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2128,NASA Marshall Space Flight Center ,NASA,,1,3,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2404,Nathan Kline Institute for Psychiatric Research,,NY,,"2,3",,0,0,,,,,,,
2066,National Aeronautics and Space Administration NASA ,,,1,3,,,,,,,,,http://www.nasa.gov/offices/ogc/general_law/ethicsfaq.html#conflicts,
2405,National Agricultural Law Center,University of Arkansas,AK,,"2,3",,0,1,1987,,,,,www.nationalaglawcenter.org/assets/bibarticles/golden_board.pdf,
1571,National American University ,,SD,,,,,,,,,,,,
2143,National Audubon Society ,,,1,2,,,,,,,,,,
2163,National Biological Information Infrastructure ,,,1,3,,,2,,,,,,,
2406,National Bureau of Economic Research,,MA,,2,,1,2,1920,,,,,,
2091,National Bureau of Economic Research ,,,1,2,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CBkQFjAA&url=http%3A%2F%2Fwww.nber.org%2FCOI_policy_031309.pdf&rct=j&q=national%20bureau%20of%20economic%20research%20conflict%20of%20interest%20policy&ei=yeHqTZW_M8nTgAf5lO3XCQ&usg=AFQjCNGtWwxpm1VpOgxZrKp4S6QzBwT1Vg&sig2=qH0Rv_qTPWx_Tkotyn5kIw&cad=rja,
2090,National Cancer Institute ,,,1,2,,,,,,,,,http://carra.cancer.gov/members/ethics/confidentiality,
2407,National Center for Agricultural Utilization Research,USDA,IL,,"2,3",,0,0,1938,,,,,,
2408,National Center for Atmospheric Research,University Corporation for Atmospheric Research,CO,,"2,3",,0,1,,,,,,www.fin.ucar.edu/polpro/section2/2-3.html,
2409,National Center for Ecological Analysis and Synthesis,"University of California, Santa Barbara",CA,,"2,3",,0,1,1995,,,,,http://www.nceas.ucsb.edu/proposal/review,
2410,National Center for Genome Resources,,NM,,"2,3",,0,2,1994,,,,,,
2411,National Center for Integrative Biomedical Informatics,National Centers for Biomedical Computing,MI,,"2,3",,0,2,2005,,,,,,
2412,National Center for Manufacturing Sciences,,MI,,2,,1,0,1986,,,,,,
2413,National Center for Research in Economic Education,University of Lincoln-Nebraska,NE,,"2,3",,0,1,,,,,,research.unl.edu/orr/conflict.shtml,
2414,National Center of Excellence for Aviation Operators,Federal Aviation Administration,CA,,"2,3",,0,0,1996,,,,,,
2415,National Centers for Biomedical Computing,National Institute of Health,Various,,"2,3",,0,2,,,,,,,
2095,National Centers for Environmental Prediction ,NOAA,,1,2,,,,,,,,,,http://www.cio.noaa.gov/Policy_Programs/NOAA_PRB_COI_Policy_110606.html
1572,National College of Natural Medicine ,,OR,,,,,,,,,,,,
1573,National Defense Intelligence College ,,DC,,,,,,,,,,,,
1574,National Defense University ,,DC,,,,,,,,,,,,
2416,National Evolutionary Synthesis Center,"Duke University, North Carolina State University, University of California at Chapel Hill",NC,,"2,3",,1,2,2004,,,,,,
1575,National Graduate School of Quality Management ,,MA,,,,,,,,,,,,
2417,National High Magnetic Field Laboratory,Florida State University,FL,,"2,3",,0,2,1989,,,,,,
2154,National High Magnetic Field Laboratory ,,,1,2,,,,,,,,,,
1576,National Hispanic University ,,CA,,,,,,,,,,,,
2418,National Humanities Center,,NC,,2,,1,0,1978,,,,,,
2419,National Ignition Facility,Lawrence Livermore National Laboratory,CA,,"2,3",,0,0,2009,,,,,,
2420,National Institute of Child Health and Human Development,National Institutes of Health,MD,,"2,3",,0,1,1962,,,,,http://www.nichd.nih.gov/funding/policies/upload/appeals_initial_peer_review.pdf,
2152,National Institute of Diabetes and Digestive and Kidney Diseases ,,,1,2,,,,,,,,,,
2123,National Institute of Environmental Health Sciences ,NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2100,National Institute of Information and Communications ,,,1,2,,,,,,,,,,
2124,National Institute of Mental Health ,NIH,,1,2,,,,,,,,,,http://www.nih.gov/about/ethics/summary_amendments_08252005.htm
2073,National Institute of Standards and Technology ,,,1,3,,,,,,,,,http://www.google.com/url?sa=t&source=web&cd=1&ved=0CBkQFjAA&url=http%3A%2F%2Fwww.ogc.doc.gov%2Fpdfs%2Fnistsummary.pdf&rct=j&q=NIST%20ethics&ei=Fi_jTfTJFIXUgQe82NGZBg&usg=AFQjCNGyt0aKLvTl6ZH7zizYIfsK0D2KBQ&sig2=_jtQo6hqLmKpc7r93hr69A&cad=rja,
2421,National Institutes of Health,,MD,,"2,3",,0,1,1930,,,,,www.nih.gov/about/ethics_COI.htm ,
1577,National Labor College ,,MD,,,,,,,,,,,,
2153,National Laboratory for Particle and Nuclear Physics ,,,1,2,,,,,,,,,,
2067,National Oceanic and Atmospheric Administration NOAA ,,,1,3,,,,,,,,,http://www.cio.noaa.gov/Policy_Programs/NOAA_PRB_COI_Policy_110606.html,http://www.cio.noaa.gov/Policy_Programs/NOAA_PRB_COI_Policy_110606.html
2133,National Optical Astronomy Observatory ,,,1,2,,,,,,,,,http://www.noao.edu/oc/coi-dfn.php,
2422,National Radio Astronomy Observatory,"Associated Universities, Inc. ",VA,,"2,3",,0,0,1956,,,,,,
2103,National Radio Astronomy Observatory ,,,1,3,,,,,,,,,,
2423,National Renewable Energy Laboratory,U.S. Department of Energy,CO,,"2,3",,0,1,1974,,,,,http://www.nrel.gov/business_opportunities/docs/ section1_007_exhibit_b.doc,
2097,National Renewable Energy Laboratory ,,,1,2,,,,,,,,,,http://search.nrel.gov/cs.html?url=http%3A//www.nrel.gov/business_opportunities/pdfs/oci.pdf&charset=utf-8&qt=site%3Awww.nrel.gov+site%3Awww.sst.nrel.gov+site%3Arredc.nrel.gov+%7C%7C+conflict+of+interest+policy&col=nrel&n=4&la=en
2089,National Research Council Canada ,,,1,2,,,,,,,,,,
2424,National Superconducting Cyclotron Laboratory,Michigan State University,MI,,"2,3",,0,0,1963,,,,,,
1579,National Theatre Conservatory ,,CO,,,,,,,,,,,,
1580,National University ,,CA,,,,,,,,,,,,
1581,National University of Health Sciences ,,IL,,,,,,,,,,,,
2425,National Wetlands Research Center,U.S. Fish and Wildlife Services,LA,,"2,3",,0,0,1975,,,,,,
2426,National Wilms Tumor Study Group,,WA,,2,,1,2,1969,,,,,,
1578,National-Louis University ,,IL,,,,,,,,,,,,
2427,Natural Resources Research Institute,University of Minnesota Duluth,ME,,2,,1,0,1985,,,,,,
1582,Navajo Technical College ,,NM,,,,,,,,,,,,
1583,Naval Postgraduate School ,,CA,,,,,,,,,,,,
1584,Nazarene Bible College ,,CO,,,,,,,,,,,,
1585,Nazareth College ,,NY,,,,,,,,,,,,
1586,Nebraska Christian College ,,NE,,,,,,,,,,,,
1587,Nebraska Methodist College ,,NE,,,,,,,,,,,,
1588,Nebraska Wesleyan University ,,NE,,,,,,,,,,,,
1589,Neumann College ,,PA,2,,"Arts and Sciences, Business and Info Management, Education and Human Services, Nursing and Health Sciences, Graduate Studies and Adult Education",1,2,1965,"2524 undergrad, 549 grad",13.5,,,,
2428,Neutron Science Laboratory,Institute of Materials Science Research,,,,,,,,,,,,,
2429,Nevada Cancer Institute,,NV,,2,,1,0,2002,,,,,,
2430,Nevis Laboratories,Columbia University,NY,,2,,1,1,,,,,,cumc.columbia.edu/faculty/COI/,
2431,New Alchemy Institute,,,,,,,,,,,,,,
1590,New College of Florida ,,FL,,,,,,,,,,,,
1591,New England College ,,NH,,,,,,,,,,,,
1592,New England College of Business & Finance ,,MA,,,,,,,,,,,,
1593,New England College of Optometry ,,MA,,,,,,,,,,,,
2432,New England Complex Systems Institute,,,,,,,,,,,,,,
1594,New England Conservatory of Music ,,MA,,,,,,,,,,,,
1595,New England Institute of Art ,,MA,,,,,,,,,,,,
1596,New England Institute of Technology ,,RI,,,,,,,,,,,,
1597,New Hope Christian College ,,OR,,,,,,,,,,,,
1598,New Jersey City University ,,NJ,,,,,,,,,,,,
1599,New Jersey Institute of Technology ,,NJ,,,,,,,,,,,,
1600,New Mexico Highlands University ,,NM,,,,,,,,,,,,
1601,New Mexico Institute of Mining & Technology ,,NM,,,,,,,,,,,,
1602,New Mexico State University ,,NM,,,,,,,,,,,,
1603,New Orleans Baptist Theological Seminary ,,LA,,,,,,,,,,,,
2433,New York Blood Center,,,,,,,,,,,,,,
1605,New York Chiropractic College ,,NY,,,,,,,,,,,,
1291,New York City College of Technology,,NY,,,,,,,,,,,http://www.cuny.edu/research/compliance/CUNY_Conflict_of_Interest_Policy_approved_June2008.doc,
1606,New York College of Podiatric Medicine ,,NY,,,,,,,,,,,,
1607,New York Institute of Technology ,,NY,,,,,,,,,,,,
1608,New York Medical College ,,NY,,,,,,,,,,,,
1609,New York University ,,NY,,1,"College of Arts and Sciecne, College of Dentistry, College of Nursing, Courant Institute of Mathematical Sciences, Gallatin School of Individualized Study, Leonard N. Stern School of Business, NYU Abu Dhabi, Polytechnic Institute of NYU, Robert F. Wagner Graduate School of Public Service, School of Continuing and Professional Studies, School of Law, School of Medicine, Silver School of Social Work, Steinhart School of Culture, Education, and Development; Tisch School of the Arts",1,1,1831,4300,2430,,,http://www.nyu.edu/about/policies-guidelines-compliance/policies-and-guidelines/conflict-of-interest-policy.html,
1610,Newberry College ,,SC,,,,,,,,,,,,
1611,Newbury College ,,MA,,,,,,,,,,,,
1612,Newman University ,,KS,,,,,,,,,,,,
1613,Niagara University ,,NY,,,,,,,,,,,,
1615,Nicholls State University ,,LA,,,,,,,,,,,,
1614,Nichols College ,,MA,,,,,,,,,,,,
2434,Nike Sports Research Lab,,,,,,,,,,,,,,
2084,NOAA National Weather Service ,,,1,3,,,,,,,,,http://www.cio.noaa.gov/Policy_Programs/NOAA_PRB_COI_Policy_110606.html,http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&tpl=/ecfrbrowse/Title05/5cfr2635_main_02.tpl
2436,Norbert Wiener Center for Harmonic Analysis and Applications,,,,,,,,,,,,,,
